День,Время,Дисциплина,Преподаватель,Аудитория
Понедельник,09:00-10:30 (1 пара),Иностранный язык,Ст. преп. Иванова Е.С.,Ш-107
Понедельник,10:40-12:10 (2 пара),Программирование,Доц. Морозов К.С.,Ш-106
Понедельник,12:20-13:50 (3 пара),Физика,Доц. Кузнецов А.П.,Ш-105
Вторник,09:00-10:30 (1 пара),Математический анализ,Проф. Смирнов В.И.,Ш-204
Вторник,10:40-12:10 (2 пара),История,Проф. Петрова Н.В.,Ш-108
Среда,09:00-10:30 (1 пара),Базы данных,Доц. Волков И.А.,Ш-105
Среда,10:40-12:10 (2 пара),Философия,Проф. Лебедева Т.А.,Ш-205
Среда,12:20-13:50 (3 пара),Английский язык,Ст. преп. Иванова Е.С.,Ш-108
Четверг,09:00-10:30 (1 пара),Физика,Доц. Кузнецов А.П.,Ш-107
Четверг,10:40-12:10 (2 пара),Программирование,Доц. Морозов К.С.,Ш-106
Четверг,12:20-13:50 (3 пара),Математический анализ,Проф. Смирнов В.И.,Ш-105
Пятница,09:00-10:30 (1 пара),История,Проф. Петрова Н.В.,Ш-204
Пятница,10:40-12:10 (2 пара),Философия,Проф. Лебедева Т.А.,Ш-108
Пятница,12:20-13:50 (3 пара),Информатика,Доц. Соколов Д.М.,Ш-107
